idx,winner_id,loser_id,score,matchround,minutes,w_ace,w_df,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,l_ace,l_df,l_1stIn,l_1stWon,l_2ndWon,l_bpSaved,l_bpFaced,winner_rank,loser_rank
2944,105062,104797,6-2 7-5,R32,84,1,3,36,27,20,3,3,6,0,32,22,12,4,7,65,61
2945,103285,105583,6-0 6-3,R32,67,3,2,25,18,16,2,2,0,2,25,15,8,4,8,197,76
2946,106071,103917,6-4 6-3,R32,69,8,0,34,28,14,4,5,4,1,29,21,10,3,6,18,71
2947,104471,117352,6-3 6-2,R32,67,11,2,30,24,13,0,0,3,1,30,22,9,3,6,87,813
2948,106298,106415,4-6 6-3 7-5,R32,143,17,2,64,53,15,2,4,4,3,64,42,30,12,15,78,117
2949,105676,105064,6-4 6-4,R32,82,3,4,30,23,16,1,2,7,2,40,25,15,7,10,16,37
2950,106233,105902,3-6 6-4 6-3,R32,113,4,2,48,35,21,2,4,14,1,42,32,26,6,9,20,120
2951,106045,105441,4-6 6-3 6-2,R32,103,2,3,44,36,19,4,5,8,3,40,25,25,5,8,69,129
2952,111202,105032,7-6(8) 6-4,R32,102,2,3,48,35,14,2,4,11,3,52,39,10,8,11,51,60
2953,105777,104468,6-3 7-6(10),R32,125,8,6,46,36,18,6,7,2,3,55,36,16,3,5,28,15
2954,104678,105449,7-6(3) 6-1,R32,70,3,2,34,28,13,1,3,3,0,33,20,14,4,8,22,32
2955,104735,106093,6-2 6-4,R32,79,1,0,36,29,13,0,0,4,3,37,24,10,5,8,277,231
2956,105453,105062,6-3 6-4,R16,89,5,2,40,29,13,5,6,3,0,36,23,10,4,7,8,65
2957,106071,103285,7-6(6) 4-6 7-6(4),R16,157,19,1,78,56,17,3,6,14,5,66,54,18,4,6,18,197
2958,105683,104471,6-7(2) 6-1 6-4,R16,145,17,5,62,51,23,3,3,11,2,66,47,17,7,10,14,87
2959,106298,105676,7-6(5) 4-6 6-3,R16,122,13,4,57,45,24,9,11,9,1,50,40,20,1,4,78,16
2960,106233,106045,6-3 6-2,R16,56,7,1,33,28,8,0,0,0,2,27,19,8,2,5,20,69
2961,105227,111202,7-5 7-6(3),R16,106,18,3,44,37,16,4,6,5,2,50,36,15,6,9,13,51
2962,105777,104678,5-7 7-6(6) 6-2,R16,167,9,4,70,51,25,5,7,9,1,76,51,23,6,9,28,22
2963,103819,104735,6-2 6-1,R16,55,2,1,22,18,12,1,1,2,4,27,15,6,1,6,3,277
2964,106071,105453,6-3 1-6 6-3,QF,119,14,1,62,45,13,8,11,5,3,52,35,15,7,10,18,8
2965,105683,106298,6-4 6-4,QF,76,12,4,29,27,12,0,1,6,4,43,33,9,5,8,14,78
2966,106233,105227,2-6 7-6(4) 6-4,QF,119,6,0,55,41,20,0,2,11,2,52,41,27,7,8,20,13
2967,103819,105777,6-4 6-7(4) 6-4,QF,127,7,1,52,45,19,0,1,8,2,62,46,21,8,11,3,28
2968,105683,106071,7-6(5) 7-6(5),SF,107,13,3,49,40,19,4,4,10,3,54,41,16,2,2,14,18
2969,103819,106233,6-1 6-4,SF,60,6,0,27,23,12,0,1,2,4,31,18,9,2,6,3,20
2970,105683,103819,6-4 6-4,F,87,6,6,34,28,14,1,1,7,3,34,25,14,3,5,14,3
2971,106368,104593,6-2 6-0,R32,60,3,0,24,20,8,0,0,1,3,39,20,6,5,10,248,98
2972,104563,105526,6-4 7-6(5),R32,89,11,2,37,30,13,2,4,4,3,49,35,13,2,5,106,107
2973,105379,105577,7-5 7-6(6),R32,106,2,3,46,36,16,0,1,8,2,43,31,18,1,3,45,39
2974,105357,105539,6-7(5) 6-4 7-6(6),R32,158,6,5,60,40,24,4,9,5,1,61,37,33,6,12,92,91
2975,105572,104330,6-7(0) 6-4 6-4,R32,139,9,2,62,45,21,3,3,11,1,68,55,14,2,4,104,89
2976,106432,104719,7-6(5) 2-6 6-4,R32,151,3,0,61,41,19,4,7,5,1,73,46,22,6,8,44,84
2977,104180,111575,6-7(3) 7-6(4) 6-2,R32,135,19,5,57,47,28,0,0,9,0,67,50,24,7,9,38,152
2978,105341,106075,1-6 6-3 6-4,R32,118,0,3,78,45,12,10,15,4,1,63,38,11,9,14,157,259
2979,104586,105053,6-3 6-4,R32,85,10,5,37,32,15,6,6,3,0,45,30,11,8,10,55,70
2980,104198,106121,4-6 7-5 6-2,R32,140,7,1,57,44,18,7,9,2,2,77,51,10,6,10,27,96
2981,105302,104597,3-6 7-5 7-6(1),R32,124,12,2,54,44,26,3,4,17,1,44,34,37,3,4,449,73
2982,126094,104500,6-3 3-6 6-3,R32,103,0,2,48,33,20,1,3,7,4,51,35,15,4,7,185,177
2983,106368,104628,3-6 6-4 6-4,R16,109,9,2,57,43,13,0,2,5,3,57,45,16,5,7,248,164
2984,105379,104563,5-7 6-3 6-4,R16,131,13,2,53,44,23,6,7,11,2,43,36,23,2,4,45,106
2985,105138,105357,6-4 6-1,R16,75,1,1,34,26,13,1,2,2,0,37,23,4,3,7,25,92
2986,106432,105572,6-2 7-5,R16,90,3,1,30,24,19,1,1,4,1,44,27,13,7,10,44,104
2987,105341,104180,6-4 7-5,R16,77,0,2,43,31,9,1,3,14,5,38,30,6,2,6,157,38
2988,105332,104586,7-5 7-5,R16,84,8,3,34,29,15,5,8,4,3,48,29,13,8,13,19,55
2989,104198,105302,7-6(5) 6-1,R16,85,4,4,44,34,19,9,9,7,3,36,27,8,5,7,27,449
2990,104527,126094,6-3 6-2,R16,52,6,1,28,23,13,0,0,2,2,39,23,7,6,9,4,185
2991,105379,106368,6-7(5) 6-4 6-3,QF,138,9,2,63,50,24,3,3,6,2,60,43,19,1,3,45,248
2992,106432,105138,3-6 6-4 7-6(1),QF,150,9,2,60,43,21,5,8,10,5,77,52,15,3,6,44,25
2993,105332,105341,6-4 7-5,QF,89,14,5,39,28,19,6,10,0,2,57,33,3,4,10,19,157
2994,104527,104198,6-4 6-4,QF,77,14,0,38,31,8,0,1,5,2,44,26,16,6,9,4,27
2995,106432,105379,7-6(5) 6-7(5) 6-3,SF,176,17,1,92,66,20,8,11,16,0,73,52,17,9,13,44,45
2996,104527,105332,6-3 6-4,SF,65,6,1,37,26,17,1,1,2,3,29,24,10,2,4,4,19
2997,104527,106432,6-3 7-5,F,86,15,3,38,34,18,5,5,2,1,39,27,12,1,3,4,44
2998,104745,105807,6-7(5) 6-3 6-1,R32,120,5,1,59,44,13,1,2,0,4,55,34,11,4,9,5,67
2999,104898,106234,5-7 6-1 7-5,R32,139,4,1,58,38,25,10,13,2,5,63,40,21,10,16,66,195
3000,105723,104947,6-2 6-4,R32,64,7,2,29,25,13,1,2,2,1,30,20,5,0,4,79,114
3001,105575,104312,3-6 6-1 6-4,R32,128,2,1,50,31,13,4,9,7,3,52,27,26,12,19,85,29
3002,105011,103970,6-7(8) 6-3 6-2,R32,137,4,4,61,47,22,6,7,3,9,46,31,23,2,6,94,7
3003,104559,104620,4-6 6-4 6-1,R32,118,2,3,48,36,17,5,7,2,1,55,36,15,5,9,50,58
3004,103908,105077,6-3 4-6 7-6(7),R32,165,2,7,72,52,18,5,8,8,2,67,48,17,4,7,95,54
3005,104871,122570,6-1 6-1,R32,46,3,1,21,19,6,1,2,1,2,28,15,7,7,13,31,1512
3006,103926,103852,3-6 7-6(4) 7-5,R32,145,4,2,70,53,19,8,9,24,1,73,53,21,7,8,75,17
3007,106378,105373,6-2 6-3,R32,70,7,1,28,22,11,0,1,4,5,33,20,7,7,11,102,43
3008,106000,106065,6-4 6-2,R32,61,2,3,33,29,8,1,1,5,2,35,21,9,2,5,82,90
3009,104607,104660,7-5 6-4,R32,77,3,2,30,26,17,1,2,3,0,42,30,10,2,5,6,62
3010,104919,103794,6-1 6-2,R32,64,3,4,36,29,9,2,2,1,1,23,11,10,4,8,35,97
3011,104665,103893,6-4 0-6 6-4,R32,119,1,2,53,35,14,4,8,2,3,51,39,11,1,4,64,68
3012,104269,104291,7-6(4) 7-6(4),R32,116,12,0,56,42,11,3,5,4,5,57,41,17,9,11,49,103
3013,104925,104460,6-2 6-2,R32,51,2,0,32,23,7,1,2,1,4,32,18,8,7,12,1,118
3014,104745,104898,6-3 6-2,R16,65,1,2,39,30,9,2,2,8,0,33,21,4,3,6,5,66
3015,105723,105575,7-6(6) 6-1,R16,85,4,4,41,25,17,1,4,4,2,38,21,12,5,10,79,85
3016,105011,104559,6-4 6-2,R16,78,3,1,31,25,13,0,0,3,3,39,27,8,0,3,94,50
3017,104871,103908,6-2 6-4,R16,66,12,1,32,29,8,2,2,1,4,29,22,11,6,9,31,95
3018,106378,103926,5-7 6-3 7-6(3),R16,145,9,0,72,50,15,2,6,11,3,54,41,21,5,9,102,75
3019,104607,106000,6-0 6-4,R16,65,6,2,25,19,9,0,2,0,3,38,16,11,7,13,6,82
3020,104919,104665,6-2 6-4,R16,71,6,1,28,26,10,0,0,2,0,38,25,8,2,5,35,64
3021,104925,104269,6-2 6-2,R16,69,2,2,34,26,11,2,2,4,2,33,19,6,4,8,1,49
3022,104745,105723,6-3 5-7 6-4,QF,127,3,0,56,36,15,0,4,8,4,47,33,19,5,10,5,79
3023,105011,104871,6-3 7-6(3),QF,94,4,0,36,26,19,3,5,12,4,45,32,5,3,6,94,31
3024,104607,106378,6-3 6-2,QF,81,7,2,30,22,19,4,4,1,0,39,22,10,8,11,6,102
3025,104925,104919,6-3 7-5,QF,93,2,0,38,30,7,3,5,3,5,41,22,10,2,7,1,35
3026,104745,105011,6-3 6-4,SF,77,6,0,37,33,8,1,1,6,1,35,27,7,5,7,5,94
3027,104925,104607,6-3 7-6(3),SF,102,4,1,45,35,13,3,4,4,4,40,28,13,3,5,1,6
3028,104925,104745,6-1 6-2,F,73,4,1,33,26,8,1,1,3,1,28,14,6,3,7,1,5
3029,104259,103794,7-6(8) 6-3,R32,84,4,5,38,32,20,2,2,8,2,50,42,6,7,8,34,98
3030,105217,105077,6-3 6-4,R32,66,6,0,30,29,11,0,0,1,1,33,24,10,2,4,100,55
3031,104926,105311,6-4 2-6 7-6(3),R32,115,5,8,56,38,20,6,13,6,6,47,31,20,1,7,21,33
3032,105023,105379,6-7(5) 7-6(10) 2-1 RET,R32,115,22,3,53,49,18,1,2,11,2,60,48,20,4,5,60,49
3033,105385,110686,6-2 6-3,R32,66,5,3,33,21,15,4,6,1,2,31,13,11,2,7,46,365
3034,105138,106210,6-3 7-5,R32,76,5,0,40,30,17,4,5,4,1,38,25,6,1,4,25,42
3035,105577,103333,7-6(4) 7-5,R32,87,12,0,48,38,14,0,0,15,4,41,34,17,2,3,39,23
3036,106058,103607,6-0 6-4,R32,49,8,2,22,20,14,0,0,2,6,30,19,7,3,7,26,56
3037,104898,104665,6-4 6-1,R32,67,4,2,39,33,10,6,6,0,2,28,19,9,0,3,64,59
3038,105332,105030,6-4 7-6(4),R32,86,11,6,42,35,27,5,5,3,2,41,34,12,1,2,18,679
3039,104586,104198,7-6(5) 6-4,R32,91,10,2,46,34,19,5,6,7,2,47,32,18,4,6,54,27
3040,105881,105449,6-3 3-6 6-3,R32,98,13,1,55,46,15,5,6,12,3,56,40,14,5,7,299,32
3041,104542,104259,6-3 6-4,R16,66,4,1,41,31,11,2,2,1,4,31,24,10,6,8,10,34
3042,104926,105217,6-1 6-1,R16,47,2,1,23,20,8,0,0,6,3,22,10,8,1,6,21,100
3043,104545,105023,7-6(8) 6-7(4) 6-4,R16,133,31,4,81,68,15,1,1,21,7,74,61,22,2,3,11,60
3044,105138,105385,6-4 7-6(3),R16,86,8,2,51,38,15,2,2,3,2,42,32,14,2,3,25,46
3045,106058,105577,6-2 6-4,R16,75,8,3,27,25,13,1,1,7,4,42,26,15,7,10,26,39
3046,104731,104898,7-6(8) 7-6(5),R16,106,8,3,45,35,22,2,3,2,4,41,36,19,1,2,12,64
3047,104586,105332,6-4 7-6(5),R16,79,2,2,39,29,20,2,3,13,5,59,44,7,4,6,54,18
3048,103970,105881,6-2 6-4,R16,65,1,0,26,23,13,0,0,6,2,35,22,12,4,7,8,299
3049,104542,104926,7-5 7-6(4),QF,102,12,3,45,38,17,1,1,3,1,52,36,16,5,6,10,21
3050,105138,104545,7-5 2-6 6-3,QF,101,4,5,56,44,14,3,6,17,1,53,39,12,3,6,25,11
3051,106058,104731,1-6 6-4 6-4,QF,98,7,4,44,36,18,6,8,14,5,47,39,17,2,4,26,12
3052,103970,104586,6-3 6-4,QF,71,5,1,37,26,16,4,4,2,1,31,24,9,1,4,8,54
3053,105138,104542,3-6 7-6(3) 6-4,SF,136,3,5,65,49,23,4,7,16,1,59,47,21,6,8,25,10
3054,106058,103970,3-6 6-1 6-2,SF,79,13,1,34,28,19,2,3,3,2,40,28,11,2,6,26,8
3055,105138,106058,6-1 1-0 RET,F,28,2,2,15,14,2,0,0,0,3,10,5,5,1,4,25,26
3056,104180,106432,6-1 6-4,R32,57,12,0,30,28,9,0,0,3,2,26,17,5,1,4,38,40
3057,105902,105438,6-3 6-2,R32,70,3,2,37,30,18,6,6,5,5,23,15,13,1,4,134,72
3058,104871,105062,6-2 6-3,R32,63,11,1,27,22,12,0,1,0,0,49,27,3,1,5,31,63
3059,104655,109739,6-4 6-4,R32,70,9,4,32,28,16,6,6,2,4,45,32,7,4,6,41,265
3060,105512,104620,6-2 7-6(5),R32,94,8,1,29,22,23,2,3,5,0,49,29,15,4,7,195,58
3061,105238,105064,6-1 6-4,R32,66,7,0,32,27,10,1,1,4,5,32,22,13,2,5,36,37
3062,104312,104797,6-4 4-6 6-2,R32,102,3,3,41,32,15,0,3,11,1,44,28,16,0,5,29,61
3063,103917,105173,6-4 7-5,R32,98,4,1,41,26,11,5,8,4,3,47,29,9,4,9,71,44
3064,103990,105357,7-6(3) 6-3,R32,95,6,1,54,38,13,5,7,5,1,43,23,13,2,5,43,93
3065,104559,104919,6-4 6-3,R32,92,5,6,33,26,8,3,5,7,4,48,29,13,9,14,50,35
3066,105643,105032,7-6(4) 7-6(5),R32,102,5,2,40,30,23,1,3,16,4,48,40,14,2,4,52,66
3067,111442,105373,6-2 4-0 RET,R32,57,5,1,18,15,9,0,0,1,10,20,13,9,4,8,149,45
3068,104180,106233,7-6(2) 2-2 RET,R16,58,5,1,32,27,10,1,2,2,1,39,27,5,2,3,38,20
3069,104871,105902,7-6(5) 6-4,R16,93,8,5,52,38,14,5,6,11,3,39,25,22,3,5,31,134
3070,105777,104655,7-6(2) 6-4,R16,97,6,4,38,31,20,3,3,7,3,40,27,24,8,9,28,41
3071,105238,105512,7-6(6) 6-2,R16,78,10,1,38,32,11,2,3,4,4,43,28,17,6,9,36,195
3072,103917,104312,6-3 1-6 6-3,R16,89,7,1,34,27,13,3,7,8,2,40,27,13,2,6,71,29
3073,104678,103990,6-1 6-4,R16,61,8,4,26,24,11,2,3,1,1,24,17,9,3,7,22,43
3074,104559,105643,6-3 6-3,R16,75,4,0,35,28,12,3,3,2,4,31,21,11,2,5,50,52
3075,106071,111442,6-2 6-2,R16,49,6,0,25,23,9,0,0,4,0,23,14,6,1,5,17,149
3076,104180,104871,7-6(5) 6-3,QF,1146,14,5,35,32,13,0,0,2,5,44,34,10,1,3,38,31
3077,105777,105238,4-6 6-3 6-4,QF,134,10,3,60,47,17,4,6,8,6,66,44,21,12,15,28,36
3078,104678,103917,4-6 6-3 6-3,QF,105,6,3,53,37,17,3,5,4,4,55,40,11,5,9,22,71
3079,104559,106071,6-3 3-0 RET,QF,49,4,2,19,16,11,1,1,3,1,21,11,6,3,6,50,17
3080,105777,104180,6-2 7-6(4),SF,105,7,0,43,35,14,3,3,12,1,42,32,12,0,2,28,38
3081,104678,104559,3-6 6-4 6-4,SF,124,11,0,59,40,16,2,7,6,5,48,33,18,5,10,22,50
3082,104678,105777,2-6 6-1 7-6(7),F,136,9,0,67,47,17,11,15,4,4,58,38,8,3,7,22,28
3083,104925,111202,6-3 6-2 6-4,R128,115,10,3,45,40,13,0,1,5,2,56,33,16,2,7,1,52
3084,111460,104471,6-4 6-7 6-4 7-5,R128,201,13,10,89,63,30,8,12,10,9,91,67,23,10,17,187,78
3085,106045,105936,6-2 6-1,R128,54,10,1,29,23,11,1,1,6,9,31,16,7,7,11,69,102
3086,104312,104559,3-6 7-6 6-4 7-6,R128,220,12,5,76,57,42,3,6,17,8,83,69,30,8,10,29,44
3087,105643,103333,7-6 6-4 2-1,R128,103,10,5,43,40,20,3,3,21,6,48,38,15,4,5,53,24
3088,105952,106210,7-6 2-6 1-6 6-4 6-4,R128,207,13,8,110,75,21,8,14,11,6,92,70,24,3,6,174,50
3089,105539,105438,6-4 3-6 6-1 6-4,R128,144,13,4,72,56,25,11,12,19,8,61,48,29,9,13,91,72
3090,104468,105577,6-7 6-3 6-2 6-4,R128,167,2,4,79,65,22,1,1,19,6,81,58,21,8,12,15,39
3091,104542,104571,6-4 4-6 6-4 6-2,R128,146,13,3,72,55,22,1,2,5,3,55,42,29,5,9,10,46
3092,117357,105011,6-4 3-6 6-0 6-4,R128,154,5,3,78,53,19,5,8,13,7,64,40,20,5,11,310,76
3093,105732,104665,5-7 6-4 7-6 6-2,R128,189,17,10,81,62,34,6,9,4,5,98,74,23,9,14,167,62
3094,111511,105332,7-6 7-6 7-6,R128,151,5,3,82,56,32,10,13,18,7,71,57,28,8,11,328,18
3095,104198,103908,6-4 6-4 6-4,R128,129,10,5,49,40,25,3,4,11,8,48,35,25,7,11,27,97
3096,104978,103607,6-4 7-6 4-6 6-1,R128,144,17,3,72,57,23,1,4,6,2,79,56,18,10,15,151,55
3097,105572,105842,6-4 6-1 6-3,R128,91,13,4,43,36,15,2,3,1,1,61,35,11,4,10,103,243
3098,105453,104259,6-4 6-3 6-3,R128,115,5,3,46,38,20,0,0,8,4,65,44,11,4,8,7,34
3099,103819,105932,6-2 6-1 6-2,R128,72,6,3,36,33,9,0,1,2,5,44,23,7,6,14,3,118
3100,105238,105575,6-1 3-6 6-4 6-2,R128,128,10,8,60,49,22,6,9,5,2,69,37,26,10,17,35,85
3101,105477,106075,6-4 7-6 7-5,R128,139,4,1,65,50,19,2,4,4,5,67,42,22,4,8,210,251
3102,105777,103893,6-3 7-6 6-3,R128,145,12,1,73,56,17,3,5,7,2,56,45,14,5,9,28,57
3103,106233,104919,6-2 7-6 4-6 7-6,R128,186,7,4,88,69,18,3,6,8,5,91,61,24,5,9,20,36
3104,104597,103898,6-3 6-7 6-3 7-6,R128,173,38,5,73,64,37,4,4,15,5,97,66,30,9,11,73,696
3105,106000,106378,1-6 7-6 4-6 6-3 6-1,R128,192,13,10,124,81,24,8,14,14,4,68,51,36,13,19,81,88
3106,105676,104660,3-6 6-3 6-4 6-4,R128,156,3,5,74,54,18,5,10,10,6,69,46,24,8,15,16,60
3107,105227,105217,6-7 7-5 6-2 6-4,R128,173,19,1,58,49,39,4,5,12,4,79,58,27,6,11,13,98
3108,105077,106432,6-2 6-2 6-3,R128,104,4,1,50,38,16,7,7,5,3,47,29,13,2,8,61,40
3109,105583,105023,6-7 4-6 6-4 6-2,R128,136,17,6,73,58,26,3,5,17,6,72,53,32,7,11,77,58
3110,105138,105373,6-2 6-3 4-6 2-6 6-2,R128,196,4,2,99,66,18,9,14,8,13,84,52,38,21,28,21,43
3111,106401,105807,6-2 7-5 6-2,R128,91,16,0,50,37,17,0,1,3,2,60,28,20,6,12,30,68
3112,104655,106415,7-6 6-1 6-4,R128,121,13,5,56,45,20,7,9,3,1,55,31,22,4,10,41,117
3113,105806,104898,7-6 6-4 6-4,R128,131,8,2,76,48,33,11,12,17,4,55,40,23,3,6,138,65
3114,104607,106026,7-5 6-1 6-2,R128,105,13,1,39,35,21,2,3,2,4,44,25,16,2,8,6,96
3115,104269,104745,7-6 4-6 3-6 7-6 6-2,R128,281,20,10,118,85,33,10,16,7,6,108,75,31,10,15,45,5
3116,104534,103794,6-1 6-3 2-6 6-2,R128,121,6,1,60,43,18,4,8,8,6,62,37,15,4,12,87,101
3117,105723,105992,7-5 6-4 6-4,R128,117,4,3,48,38,24,5,7,10,5,47,34,29,12,17,74,134
3118,104871,105208,7-5 2-6 6-7 6-3 13-11,R128,283,24,21,115,96,31,12,17,25,18,128,98,46,21,28,31,79
3119,104792,105216,6-1 6-3 6-2,R128,83,12,3,42,35,13,0,0,4,3,53,27,16,10,16,25,124
3120,103917,106065,4-6 6-2 6-2 6-2,R128,133,9,4,54,46,22,2,3,7,4,72,52,15,4,10,63,92
3121,103565,106216,6-2 6-2 6-2,R128,100,8,3,41,36,20,5,5,5,3,63,32,20,8,14,225,132
3122,104330,104731,7-6 6-7 6-3 3-0,R128,168,12,2,76,64,19,1,1,14,11,82,64,21,6,9,93,12
3123,105683,106298,6-1 6-4 6-4,R128,86,12,2,44,39,17,0,0,8,4,34,24,18,2,6,14,90
3124,103990,104291,7-5 3-6 4-6 7-6 8-6,R128,287,20,8,112,81,42,9,14,9,10,134,96,51,25,30,42,104
3125,105065,104593,6-1 3-6 6-3 6-2,R128,114,8,2,57,45,25,4,5,4,3,60,41,14,3,8,108,100
3126,104678,103926,4-6 4-6 6-1 7-6 6-3,R128,209,22,5,98,75,29,10,14,12,10,84,62,35,17,22,26,71
3127,106058,126203,6-4 3-6 0-6 6-3 6-4,R128,147,16,9,66,49,29,5,9,19,3,72,55,29,6,9,22,155
3128,104586,106121,7-6 7-5 5-7 6-7 6-1,R128,216,28,4,109,91,41,10,11,12,1,118,85,32,5,8,51,99
3129,103285,105147,6-4 6-3 6-7 6-2,R128,196,14,7,88,68,28,12,15,10,3,80,52,17,3,10,188,125
3130,104527,104098,7-6 6-3,R128,94,14,0,37,33,15,1,1,2,2,55,34,20,8,9,4,0
3131,103970,105376,6-4 6-4 6-2,R128,96,7,3,49,40,16,3,4,5,2,43,30,15,3,8,8,223
3132,103720,105902,7-6 6-2 6-4,R128,143,10,3,58,44,22,6,8,15,6,53,38,21,9,14,308,129
3133,105064,111442,6-2 6-3 6-2,R128,90,3,2,38,33,20,0,0,2,6,39,27,13,4,9,37,143
3134,105449,105379,6-3 6-4 7-6,R128,125,17,5,55,46,28,3,3,14,4,49,37,23,6,8,32,49
3135,103852,105554,6-1 6-0 6-4,R128,88,13,1,38,35,14,0,0,5,6,43,24,13,7,13,19,185
3136,105550,104327,2-6 3-6 6-3 7-5 6-1,R128,186,8,9,108,72,21,13,20,7,7,64,47,26,2,10,75,110
3137,104719,105051,6-2 4-6 6-1 6-4,R128,143,5,1,54,39,23,7,11,7,5,64,34,24,10,19,80,106
3138,104545,105668,6-3 7-6 6-3,R128,105,37,0,64,58,13,0,0,10,4,61,45,18,2,4,11,56
3139,106071,104797,6-7 6-4 6-4 6-4,R128,179,16,0,95,75,20,13,14,23,1,80,59,21,6,10,17,59
3140,104620,104548,7-6 7-6 6-7 7-6,R128,219,26,0,104,83,30,4,6,15,7,107,88,24,4,6,64,0
3141,105357,106043,3-6 5-7 7-6 5-0,R128,165,7,1,79,48,20,6,11,10,3,60,41,31,5,9,95,89
3142,104180,104926,7-6 7-6 6-7 7-6,R128,239,34,8,100,89,33,4,5,20,11,111,79,49,10,11,38,23
3143,105311,105062,6-3 6-4 6-3,R128,127,13,1,57,42,16,2,4,5,3,64,41,23,16,22,33,94
3144,105053,105385,6-4 1-6 6-3 6-2,R128,136,7,1,49,35,28,2,6,6,4,61,40,22,9,15,70,47
3145,105032,105173,7-6 6-4 3-6 6-3,R128,158,27,5,80,60,18,2,6,8,4,67,45,25,2,7,67,48
3146,104918,100644,6-1 6-2 6-3,R128,127,3,2,44,36,19,6,6,5,7,57,36,11,7,13,2,83
3147,104925,111460,6-1 6-2 7-6,R64,100,9,0,44,38,20,0,1,9,6,60,42,8,6,11,1,187
3148,104312,106045,7-5 6-4 6-4,R64,126,13,1,63,51,27,8,8,6,3,40,32,24,1,4,29,69
3149,105643,105952,7-6 3-6 6-7 7-5 6-2,R64,253,13,13,76,57,44,9,15,8,13,121,84,31,16,24,53,174
3150,104468,105539,6-3 5-7 7-6 4-6 7-5,R64,238,8,6,122,86,43,12,16,7,3,103,72,36,7,11,15,91
3151,104542,117357,7-5 6-1 6-4,R64,103,14,6,56,46,14,4,5,1,1,61,38,10,7,12,10,310
3152,105732,111511,6-3 6-4 6-0,R64,82,14,2,34,32,20,0,0,1,3,60,32,11,2,7,167,328
3153,104198,104978,4-6 6-1 7-6 6-3,R64,149,5,4,75,57,28,1,2,17,4,78,57,14,3,6,27,151
3154,105453,105572,6-3 7-6 6-3,R64,113,13,1,63,52,18,3,4,7,4,48,36,14,2,5,7,103
