idx,winner_id,loser_id,score,matchround,minutes,w_ace,w_df,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,l_ace,l_df,l_1stIn,l_1stWon,l_2ndWon,l_bpSaved,l_bpFaced,winner_rank,loser_rank
8771,105992,104919,6-4 3-6 6-2,R32,123,9,2,49,39,20,8,9,10,3,47,33,19,1,4,47,52
8772,111577,111442,6-2 6-4,R32,90,5,3,32,25,14,4,5,3,5,41,25,7,7,11,54,94
8773,104797,106000,6-7(4) 6-3 6-2,R32,145,7,0,66,48,12,9,11,8,6,53,37,29,10,16,63,30
8774,200282,105449,7-6(7) 6-4,R32,104,9,3,37,32,17,2,3,6,2,43,33,17,4,6,208,44
8775,111581,105643,6-3 6-4,R32,69,5,4,38,32,11,3,3,4,0,35,28,5,0,2,175,68
8776,104999,105441,6-4 7-5,R32,88,4,1,51,35,6,3,6,4,0,51,27,8,1,6,33,218
8777,105238,106043,6-4 7-6(3),R32,93,6,4,40,32,16,3,4,1,2,34,22,20,1,3,38,26
8778,104547,124014,6-3 6-4,R32,72,12,3,37,31,11,1,1,9,0,32,25,10,4,6,66,120
8779,105051,126207,6-3 6-2,R32,59,7,1,32,23,11,2,3,4,4,25,18,6,1,5,76,79
8780,111202,104180,6-3 7-6(1),R32,99,7,4,35,29,17,2,2,19,5,40,33,10,3,5,58,25
8781,106378,133430,6-7(5) 7-6(4) 6-4,R32,150,5,5,65,54,29,5,6,18,5,62,54,18,1,3,50,51
8782,105357,105166,7-6(4) 6-0,R32,95,8,0,37,27,17,1,1,1,1,43,24,17,7,10,128,137
8783,105992,105870,6-7(5) 6-4 6-2,R16,145,19,5,54,43,23,8,9,5,5,68,50,17,7,11,47,119
8784,104797,111577,7-6(5) 6-2,R16,91,6,1,45,35,8,5,7,4,9,35,26,15,5,9,63,54
8785,200282,105683,6-4 6-4,R16,94,5,0,41,29,16,5,6,9,4,38,26,13,7,10,208,24
8786,111581,104999,6-2 5-7 6-4,R16,152,12,3,67,48,22,6,8,11,3,50,37,17,4,8,175,33
8787,105238,104547,6-1 6-2,R16,64,9,2,33,25,10,4,4,2,2,28,15,7,2,7,38,66
8788,106401,105051,6-7(3) 7-6(5) 6-2,R16,132,13,2,62,53,21,2,2,11,2,78,58,16,5,7,21,76
8789,106378,111202,7-6(3) 5-7 6-4,R16,158,12,3,66,54,16,1,3,11,1,75,51,20,6,8,50,58
8790,105777,105357,4-6 7-6(8) 6-3,R16,155,6,5,65,51,22,4,7,5,1,67,46,18,3,6,3,128
8791,105992,104797,7-6(6) 4-2 RET,QF,96,11,2,34,27,14,1,2,3,1,46,29,12,5,7,47,63
8792,200282,111581,6-4 6-0,QF,74,6,1,23,18,17,3,3,3,5,29,18,8,3,7,208,175
8793,106401,105238,1-6 6-3 6-4,QF,90,18,5,43,38,11,1,3,6,3,41,33,16,2,4,21,38
8794,105777,106378,6-3 6-7(3) 6-4,QF,145,12,9,65,54,18,2,2,6,1,53,39,23,4,6,3,50
8795,105992,200282,4-6 7-6(5) 6-4,SF,157,14,5,70,49,24,3,6,9,5,62,49,16,0,3,47,208
8796,106401,105777,3-6 6-1 6-4,SF,93,19,2,50,41,11,1,2,5,6,44,32,16,3,6,21,3
8797,106401,105992,6-4 6-2,F,73,17,1,40,33,9,5,5,8,3,32,22,12,4,7,21,47
8798,106432,105807,5-7 6-2 7-6(8),R32,161,13,4,80,56,15,7,11,3,2,73,45,19,6,11,48,10
8799,105932,105341,6-4 6-3,R32,76,0,1,45,28,10,4,6,1,1,36,18,11,5,9,59,73
8800,126094,105649,6-1 0-0 RET,R32,32,2,5,13,13,3,1,1,0,1,9,5,5,0,3,39,82
8801,104269,104534,4-6 6-4 6-0,R32,110,6,6,57,35,13,9,15,1,4,49,23,12,7,16,35,67
8802,105550,105077,2-6 7-5 7-5,R32,137,6,2,62,43,22,8,11,10,2,57,43,16,4,7,64,23
8803,105882,106325,6-1 6-2,R32,53,8,2,20,19,9,0,0,0,2,40,19,3,4,9,134,0
8804,105806,104890,6-4 6-3,R32,67,8,0,31,25,14,3,3,9,4,43,27,14,4,7,138,451
8805,103852,104198,6-4 5-7 7-6(3),R32,151,23,4,67,51,26,12,13,9,2,66,46,29,3,4,36,70
8806,105376,105936,6-4 6-1,R32,66,6,2,26,22,12,1,3,1,4,33,19,3,5,10,60,34
8807,126610,104678,4-6 7-6(5) 6-4,R32,139,12,2,55,45,19,2,5,6,3,94,64,12,10,13,135,55
8808,104792,103893,6-3 3-6 6-4,R32,110,7,6,57,44,12,5,8,3,3,50,35,12,3,7,46,43
8809,105526,104607,6-4 1-6 7-6(4),R32,128,8,6,53,43,17,2,5,9,2,58,49,16,5,7,53,19
8810,104755,103607,6-0 6-2,R32,51,7,0,22,19,10,0,0,1,0,27,9,5,3,8,31,83
