tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,idx,winner_id,winner_name,winner_hand,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ioc,loser_age
2015-339,Brisbane,Hard,28,A,20150104,1,1,105357,John Millman,R,AUS,26,105733,Rhyne Williams,R,USA,24
2015-339,Brisbane,Hard,28,A,20150104,2,2,103813,Jarkko Nieminen,L,FIN,33,106045,Denis Kudla,R,USA,22
2015-339,Brisbane,Hard,28,A,20150104,3,3,105902,James Duckworth,R,AUS,23,104468,Gilles Simon,R,FRA,30
2015-339,Brisbane,Hard,28,A,20150104,4,4,104871,Jeremy Chardy,R,FRA,28,104979,Andrey Golubev,R,KAZ,27
2015-339,Brisbane,Hard,28,A,20150104,5,5,105373,Martin Klizan,L,SVK,25,103781,Jurgen Melzer,L,AUT,34
2015-339,Brisbane,Hard,28,A,20150104,6,6,105238,Alexandr Dolgopolov,R,UKR,26,104122,Carlos Berlocq,R,ARG,32
2015-339,Brisbane,Hard,28,A,20150104,7,7,103997,Lukasz Kubot,R,POL,33,104731,Kevin Anderson,R,RSA,29
2015-339,Brisbane,Hard,28,A,20150104,8,8,105032,Sam Groth,R,AUS,27,103720,Lleyton Hewitt,R,AUS,34
2015-339,Brisbane,Hard,28,A,20150104,9,9,105062,Mikhail Kukushkin,R,KAZ,27,105657,Marius Copil,R,ROU,24
2015-339,Brisbane,Hard,28,A,20150104,10,10,106423,Thanasi Kokkinakis,R,AUS,19,103898,Julien Benneteau,R,FRA,33
2015-339,Brisbane,Hard,28,A,20150104,11,11,106071,Bernard Tomic,R,AUS,22,105023,Sam Querrey,R,USA,27
2015-339,Brisbane,Hard,28,A,20150104,12,12,105449,Steve Johnson,R,USA,25,104594,Marinko Matosevic,R,AUS,29
2015-339,Brisbane,Hard,28,A,20150104,13,13,103819,Roger Federer,R,SUI,33,105357,John Millman,R,AUS,26
2015-339,Brisbane,Hard,28,A,20150104,14,14,105902,James Duckworth,R,AUS,23,103813,Jarkko Nieminen,L,FIN,33
2015-339,Brisbane,Hard,28,A,20150104,15,15,105777,Grigor Dimitrov,R,BUL,24,104871,Jeremy Chardy,R,FRA,28
2015-339,Brisbane,Hard,28,A,20150104,16,16,105373,Martin Klizan,L,SVK,25,105238,Alexandr Dolgopolov,R,UKR,26
2015-339,Brisbane,Hard,28,A,20150104,17,17,105032,Sam Groth,R,AUS,27,103997,Lukasz Kubot,R,POL,33
2015-339,Brisbane,Hard,28,A,20150104,18,18,105683,Milos Raonic,R,CAN,24,105062,Mikhail Kukushkin,R,KAZ,27
2015-339,Brisbane,Hard,28,A,20150104,19,19,106071,Bernard Tomic,R,AUS,22,106423,Thanasi Kokkinakis,R,AUS,19
2015-339,Brisbane,Hard,28,A,20150104,20,20,105453,Kei Nishikori,R,JPN,25,105449,Steve Johnson,R,USA,25
2015-339,Brisbane,Hard,28,A,20150104,21,21,103819,Roger Federer,R,SUI,33,105902,James Duckworth,R,AUS,23
2015-339,Brisbane,Hard,28,A,20150104,22,22,105777,Grigor Dimitrov,R,BUL,24,105373,Martin Klizan,L,SVK,25
2015-339,Brisbane,Hard,28,A,20150104,23,23,105683,Milos Raonic,R,CAN,24,105032,Sam Groth,R,AUS,27
2015-339,Brisbane,Hard,28,A,20150104,24,24,105453,Kei Nishikori,R,JPN,25,106071,Bernard Tomic,R,AUS,22
2015-339,Brisbane,Hard,28,A,20150104,25,25,103819,Roger Federer,R,SUI,33,105777,Grigor Dimitrov,R,BUL,24
2015-339,Brisbane,Hard,28,A,20150104,26,26,105683,Milos Raonic,R,CAN,24,105453,Kei Nishikori,R,JPN,25
2015-339,Brisbane,Hard,28,A,20150104,27,27,103819,Roger Federer,R,SUI,33,105683,Milos Raonic,R,CAN,24
2015-891,Chennai,Hard,28,A,20150105,1,28,106432,Borna Coric,R,CRO,18,104898,Robin Haase,R,NED,28
