tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,idx,winner_id,winner_name,winner_hand,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ioc,loser_age
2016-M020,Brisbane,Hard,32,A,20160104,271,2944,105062,Mikhail Kukushkin,R,KAZ,28,104797,Denis Istomin,R,UZB,29
2016-M020,Brisbane,Hard,32,A,20160104,272,2945,103285,Radek Stepanek,R,CZE,37,105583,Dusan Lajovic,R,SRB,26
2016-M020,Brisbane,Hard,32,A,20160104,273,2946,106071,Bernard Tomic,R,AUS,23,103917,Nicolas Mahut,R,FRA,34
2016-M020,Brisbane,Hard,32,A,20160104,275,2947,104471,Ivan Dodig,R,CRO,31,117352,Oliver Anderson,U,AUS,18
2016-M020,Brisbane,Hard,32,A,20160104,276,2948,106298,Lucas Pouille,R,FRA,22,106415,Yoshihito Nishioka,L,JPN,20
2016-M020,Brisbane,Hard,32,A,20160104,277,2949,105676,David Goffin,R,BEL,25,105064,Thomaz Bellucci,L,BRA,28
2016-M020,Brisbane,Hard,32,A,20160104,278,2950,106233,Dominic Thiem,R,AUT,22,105902,James Duckworth,R,AUS,24
2016-M020,Brisbane,Hard,32,A,20160104,279,2951,106045,Denis Kudla,R,USA,23,105441,John Patrick Smith,L,AUS,26
2016-M020,Brisbane,Hard,32,A,20160104,280,2952,111202,Hyeon Chung,R,KOR,20,105032,Sam Groth,R,AUS,28
2016-M020,Brisbane,Hard,32,A,20160104,282,2953,105777,Grigor Dimitrov,R,BUL,25,104468,Gilles Simon,R,FRA,31
2016-M020,Brisbane,Hard,32,A,20160104,283,2954,104678,Viktor Troicki,R,SRB,30,105449,Steve Johnson,R,USA,26
2016-M020,Brisbane,Hard,32,A,20160104,284,2955,104735,Tobias Kamke,R,GER,30,106093,Benjamin Mitchell,R,AUS,23
2016-M020,Brisbane,Hard,32,A,20160104,286,2956,105453,Kei Nishikori,R,JPN,26,105062,Mikhail Kukushkin,R,KAZ,28
2016-M020,Brisbane,Hard,32,A,20160104,287,2957,106071,Bernard Tomic,R,AUS,23,103285,Radek Stepanek,R,CZE,37
2016-M020,Brisbane,Hard,32,A,20160104,288,2958,105683,Milos Raonic,R,CAN,25,104471,Ivan Dodig,R,CRO,31
2016-M020,Brisbane,Hard,32,A,20160104,289,2959,106298,Lucas Pouille,R,FRA,22,105676,David Goffin,R,BEL,25
2016-M020,Brisbane,Hard,32,A,20160104,290,2960,106233,Dominic Thiem,R,AUT,22,106045,Denis Kudla,R,USA,23
2016-M020,Brisbane,Hard,32,A,20160104,291,2961,105227,Marin Cilic,R,CRO,27,111202,Hyeon Chung,R,KOR,20
2016-M020,Brisbane,Hard,32,A,20160104,292,2962,105777,Grigor Dimitrov,R,BUL,25,104678,Viktor Troicki,R,SRB,30
2016-M020,Brisbane,Hard,32,A,20160104,293,2963,103819,Roger Federer,R,SUI,34,104735,Tobias Kamke,R,GER,30
2016-M020,Brisbane,Hard,32,A,20160104,294,2964,106071,Bernard Tomic,R,AUS,23,105453,Kei Nishikori,R,JPN,26
2016-M020,Brisbane,Hard,32,A,20160104,295,2965,105683,Milos Raonic,R,CAN,25,106298,Lucas Pouille,R,FRA,22
