idx,winner_id,loser_id,score,matchround,minutes,w_ace,w_df,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,l_ace,l_df,l_1stIn,l_1stWon,l_2ndWon,l_bpSaved,l_bpFaced,winner_rank,loser_rank
1,105357,105733,6-3 6-1,R32,65,6,2,24,19,14,1,1,3,4,31,20,5,1,5,153,220
2,103813,106045,4-6 6-1 6-4,R32,104,4,0,59,39,17,4,7,6,1,50,26,19,3,8,73,123
3,105902,104468,6-2 6-2,R32,68,4,0,27,20,11,2,3,2,1,37,22,5,10,15,125,21
4,104871,104979,6-4 6-4,R32,69,7,1,39,31,11,0,0,9,2,38,30,8,1,3,31,72
5,105373,103781,6-7(5) 7-6(6) 6-1,R32,144,9,4,79,55,27,6,8,4,4,62,40,19,4,8,34,110
6,105238,104122,6-2 6-3,R32,78,6,1,31,24,12,3,4,3,2,53,32,8,11,15,23,71
7,103997,104731,7-6(3) 6-4,R32,110,6,5,51,35,14,3,5,12,3,43,30,17,4,7,177,16
8,105032,103720,6-3 6-2,R32,59,14,0,34,30,8,2,2,1,2,22,13,14,1,4,85,84
9,105062,105657,6-4 4-6 6-4,R32,113,3,1,56,42,16,1,3,17,2,56,46,15,3,6,69,201
10,106423,103898,6-4 6-3,R32,75,9,1,30,25,14,1,2,5,3,33,23,7,1,4,149,25
11,106071,105023,7-5 7-6(5),R32,83,5,0,46,36,21,4,5,20,3,42,35,14,4,6,53,35
12,105449,104594,2-6 7-6(0) 7-5,R32,136,14,3,58,45,24,4,6,10,5,68,51,19,3,4,37,77
13,103819,105357,4-6 6-4 6-3,R16,122,8,3,50,37,19,9,11,2,2,72,44,20,9,13,2,153
14,105902,103813,4-6 7-6(5) 6-3,R16,123,16,3,66,51,24,7,9,5,0,60,45,19,4,6,125,73
15,105777,104871,3-6 6-4 7-6(8),R16,148,10,3,64,46,23,5,7,9,6,78,60,20,12,13,11,31
16,105373,105238,1-6 7-6(6) 7-6(7),R16,147,4,5,73,46,18,5,10,16,2,68,51,19,1,4,34,23
17,105032,103997,6-4 6-7(2) 7-6(3),R16,148,21,2,80,62,19,2,2,14,5,75,58,22,6,7,85,177
18,105683,105062,6-3 6-4,R16,61,17,4,31,28,12,0,0,1,1,32,22,12,2,4,8,69
19,106071,106423,7-6(2) 6-1,R16,79,8,1,51,38,12,0,0,7,3,32,23,14,3,5,53,149
20,105453,105449,6-4 7-5,R16,81,7,1,45,34,16,2,2,6,1,33,24,17,1,3,5,37
21,103819,105902,6-0 6-1,QF,41,12,2,21,19,6,0,0,0,1,25,8,4,2,8,2,125
22,105777,105373,6-3 6-4,QF,73,7,2,34,26,12,1,3,3,1,37,24,5,1,5,11,34
23,105683,105032,7-6(5) 3-6 7-6(2),QF,121,15,2,65,53,19,4,5,22,1,74,58,17,0,0,8,85
24,105453,106071,6-0 6-4,QF,59,5,1,26,24,8,0,0,10,2,41,26,10,12,16,5,53
25,103819,105777,6-2 6-2,SF,53,1,1,33,27,9,4,4,4,1,30,19,6,3,7,2,11
26,105683,105453,6-7(4) 7-6(4) 7-6(4),SF,153,34,3,84,72,22,3,3,6,3,82,69,21,3,3,8,5
27,103819,105683,6-4 6-7(2) 6-4,F,133,21,0,64,51,19,5,6,14,4,58,44,27,4,7,2,8
28,106432,104898,6-2 6-2,R32,66,4,1,26,21,12,4,5,1,0,27,14,5,2,7,95,80
29,111200,104997,6-4 4-6 6-3,R32,106,3,2,55,39,15,4,7,3,7,62,43,13,4,8,227,81
30,104180,104273,6-7(11) 6-1 7-6(3),R32,143,29,4,65,49,23,3,4,4,3,69,50,16,1,5,46,116
31,105575,104563,6-1 2-6 7-5,R32,109,4,3,46,33,16,3,6,11,1,46,30,17,2,7,83,148
32,106210,104822,6-2 6-1,R32,67,4,1,23,20,9,0,0,0,0,28,12,14,5,10,65,557
33,104890,104719,3-6 7-6(6) 2-0 RET,R32,134,3,4,43,32,22,6,9,5,2,38,29,19,4,6,79,55
34,104229,104500,6-3 6-4,R32,80,2,0,31,22,14,1,3,3,1,38,22,9,7,11,38,136
35,105807,105292,6-1 6-3,R32,60,1,1,23,20,12,3,4,2,2,24,12,7,3,8,49,109
36,105376,104268,6-0 6-1,R32,43,2,0,21,18,13,3,3,0,0,20,9,5,1,6,102,113
37,104198,105539,6-7(3) 6-2 6-3,R32,115,4,1,41,31,24,3,5,6,6,51,31,20,5,11,36,129
38,105147,106368,6-3 6-3,R32,81,2,1,38,33,6,2,2,9,4,40,30,13,8,11,87,285
39,105379,105041,7-6(0) 6-3,R32,96,11,4,40,37,19,3,3,5,2,49,35,12,6,7,156,88
40,104527,106432,6-1 6-4,R16,71,4,1,26,24,12,0,0,2,0,28,18,11,5,8,4,95
41,104180,111200,6-4 6-3,R16,80,6,2,37,31,16,7,7,2,3,35,30,1,0,2,46,227
42,105676,105575,6-0 4-6 7-6(1),R16,116,12,4,46,38,19,2,4,1,4,74,48,10,6,10,22,83
43,104890,106210,6-7(3) 6-4 6-4,R16,126,13,7,67,49,18,3,4,14,4,67,53,13,2,5,79,65
44,104229,105807,6-4 6-4,R16,74,7,2,39,30,10,4,5,7,2,48,32,6,4,7,38,49
45,105138,105376,6-3 6-2,R16,71,6,4,35,23,14,6,8,5,2,27,16,6,1,6,15,102
46,104198,105147,6-7(1) 6-2 6-0,R16,126,8,2,49,35,19,4,7,5,7,58,34,15,10,18,36,87
47,105379,103852,6-4 6-4,R16,86,7,1,38,33,10,1,1,6,2,42,28,17,8,10,156,14
48,104527,104180,6-2 7-6(4),QF,86,4,0,39,31,17,3,4,1,4,38,26,16,3,6,4,46
49,105676,104890,7-5 6-2,QF,72,7,1,25,21,17,0,1,6,2,39,25,10,3,7,22,79
50,105138,104229,7-6(7) 6-4,QF,109,3,0,47,34,16,2,3,5,1,47,34,18,4,6,15,38
51,105379,104198,2-6 6-3 6-2,QF,116,11,1,64,44,16,8,11,3,4,37,24,18,3,7,156,36
52,104527,105676,7-5 6-3,SF,91,6,1,37,26,22,7,8,3,2,38,29,12,7,10,4,22
53,105379,105138,3-6 6-3 7-6(8),SF,163,15,3,64,45,27,10,15,2,2,68,43,18,5,10,156,15
54,104527,105379,6-3 6-4,F,70,2,1,39,29,13,0,0,7,2,33,25,9,2,4,4,156
55,104925,105583,6-2 6-1,R32,59,3,2,35,24,8,3,4,0,2,27,13,5,1,6,1,68
56,104660,106325,6-1 6-1,R32,46,7,3,35,28,6,2,2,1,3,23,11,3,3,8,57,0
57,105932,104022,7-5 6-2,R32,77,2,0,35,26,10,1,3,1,4,36,25,9,4,9,171,47
58,103333,104586,7-6(4) 6-3,R32,92,27,0,47,38,19,8,8,7,3,48,36,13,5,6,27,30
59,103970,105217,6-7(4) 6-4 6-3,R32,138,5,2,43,31,29,1,3,13,1,63,47,24,7,12,10,141
60,104269,104559,4-6 6-3 7-6(4),R32,144,8,5,99,70,11,8,9,12,4,69,58,13,9,10,33,66
61,104460,103893,7-6(3) 6-3,R32,81,6,2,44,31,14,1,3,0,3,44,26,9,2,5,98,63
62,105526,104259,7-6(3) 4-6 6-1,R32,116,7,0,59,52,15,5,6,7,1,65,45,14,4,6,58,24
63,104755,104665,6-3 7-5,R32,93,8,4,43,33,10,4,5,1,1,51,34,7,4,7,26,41
64,104620,103794,6-3 7-6(2),R32,90,10,1,43,34,14,1,2,7,0,51,31,17,5,7,52,40
65,104882,104338,7-6(3) 6-4,R32,114,4,1,58,42,12,4,5,4,1,54,33,13,4,6,99,61
66,104607,104797,6-1 6-4,R32,63,9,0,24,23,13,0,0,0,0,27,17,9,4,7,7,48
