idx,winner_id,loser_id,score,matchround,minutes,w_ace,w_df,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,l_ace,l_df,l_1stIn,l_1stWon,l_2ndWon,l_bpSaved,l_bpFaced,winner_rank,loser_rank
5885,104678,106415,6-4 7-5,R32,91,11,5,45,35,6,1,3,0,1,53,33,13,6,10,29,100
5886,106378,124014,7-6(4) 7-6(6),R32,130,11,2,48,37,19,2,3,11,3,67,39,27,9,10,45,141
5887,106298,104468,7-6(6) 7-6(4),R32,125,7,2,52,37,24,8,12,1,4,42,29,16,0,4,15,25
5888,111577,104180,6-4 6-4,R32,75,12,2,33,27,13,0,1,10,2,37,27,7,2,5,105,34
5889,111442,111200,6-3 6-2,R32,90,1,0,28,26,6,1,2,1,6,43,23,13,10,15,79,160
5890,103970,106071,6-3 7-5,R32,83,3,5,30,25,12,2,3,5,8,44,29,12,5,9,21,26
5891,105777,105449,6-2 6-3,R32,75,3,0,25,23,12,0,1,2,3,36,21,7,4,8,17,33
5892,103917,103565,4-6 6-3 6-4,R32,120,13,3,55,42,17,2,4,9,8,46,29,30,9,12,39,54
5893,105032,105732,6-3 5-7 7-5,R32,130,20,5,59,45,28,8,10,9,5,48,33,24,4,7,180,78
5894,104745,105238,6-3 6-3,R32,74,2,1,36,26,10,2,3,2,2,28,20,7,0,4,9,62
5895,104999,200282,6-3 6-3,R32,67,3,3,42,30,9,2,2,2,4,26,14,12,0,3,51,351
5896,106043,105023,6-2 6-4,R32,58,2,0,29,21,11,0,2,3,7,25,15,9,4,9,52,31
5897,104527,104678,7-6(5) 6-4,R16,89,7,2,41,33,15,0,1,5,7,46,39,8,3,5,4,29
5898,106378,106298,6-3 3-1 RET,R16,59,6,1,27,22,11,4,4,3,2,18,15,6,3,5,45,15
5899,105453,111577,4-6 6-4 6-3,R16,143,3,3,66,47,18,4,8,6,4,54,32,20,8,13,5,105
5900,111442,103970,4-6 7-5 7-5,R16,158,5,2,65,49,18,4,7,2,4,64,42,23,5,9,79,21
5901,105777,103917,6-2 6-4,R16,65,8,0,27,25,12,3,3,4,3,37,27,4,0,3,17,39
5902,106233,105032,7-6(5) 6-3,R16,89,11,1,44,36,15,4,4,11,1,35,34,9,3,4,8,180
5903,104745,104999,6-1 6-1,R16,55,1,2,18,15,15,2,2,2,2,25,13,3,3,8,9,51
5904,105683,106043,6-3 6-2,R16,69,12,1,40,30,7,2,3,0,1,29,17,6,2,6,3,52
5905,104527,106378,6-7(2) 6-4 6-4,QF,156,11,3,67,47,28,11,13,2,2,65,52,11,6,10,4,45
5906,105453,111442,6-1 6-1,QF,61,3,0,19,18,10,0,0,1,2,28,15,5,3,8,5,79
5907,105777,106233,6-3 4-6 6-3,QF,124,3,3,52,42,23,13,14,6,5,37,29,24,4,7,17,8
5908,105683,104745,4-6 6-3 6-4,QF,140,23,3,62,50,16,6,7,4,0,61,39,14,2,4,3,9
5909,105453,104527,7-6(3) 6-3,SF,101,1,1,56,37,14,4,5,9,2,37,27,10,0,2,5,4
5910,105777,105683,7-6(7) 6-2,SF,87,4,1,36,27,18,0,0,4,3,28,24,16,2,4,17,3
