idx,winner_id,loser_id,score,matchround,minutes,w_ace,w_df,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,l_ace,l_df,l_1stIn,l_1stWon,l_2ndWon,l_bpSaved,l_bpFaced,winner_rank,loser_rank
13959,126774,105932,4-6 6-3 6-2,R16,128,8,2,52,38,24,6,7,8,9,59,42,19,14,17,7,17
13960,105023,106043,7-6(2) 6-7(6) 6-3,R16,0,32,4,75,56,18,4,7,5,0,67,44,19,1,5,55,16
13961,100644,200000,6-3 6-1,R16,62,5,2,27,25,7,0,0,3,4,33,21,3,3,7,6,20
13962,106233,104755,6-4 6-1,R32,82,8,2,39,32,7,0,0,1,1,32,22,9,5,8,5,42
13963,111190,106378,6-4 3-6 7-6(5),R32,139,12,0,69,51,20,7,8,13,2,70,54,15,3,4,213,34
13964,111815,106426,7-6(5) 1-0 RET,R32,81,6,2,30,24,9,1,2,4,2,32,22,13,6,7,69,33
13965,104918,126610,7-6(2) 7-6(7),R32,121,8,0,55,41,15,5,7,5,2,43,32,18,3,5,503,13
13966,111575,104655,6-2 7-6(7),R32,91,8,0,43,33,16,5,5,2,4,39,28,16,2,4,9,47
13967,104871,106065,6-7(7) 6-3 7-6(4),R32,141,16,3,68,54,25,4,4,13,3,74,56,18,2,3,72,65
13968,126094,105777,6-2 7-5,R32,74,5,1,34,26,12,2,3,7,5,30,23,8,1,5,35,26
13969,104926,105062,6-4 4-6 7-6(6),R32,148,5,2,66,44,20,9,15,5,1,59,41,14,7,13,12,60
13970,104545,104792,6-4 6-7(5) 6-3,R32,128,22,1,74,58,13,1,1,7,12,77,57,16,9,11,19,11
13971,105554,104810,6-3 6-4,R32,112,7,1,32,22,15,4,6,2,3,42,22,18,8,13,48,235
13972,105932,105550,6-4 7-6(3),R32,101,7,6,38,33,19,7,8,5,0,52,35,14,7,9,17,22
13973,126774,105583,4-6 6-3 6-4,R32,119,5,5,50,42,15,1,3,5,2,63,40,15,4,7,7,29
13974,105023,105138,7-6(2) 4-1 RET,R32,89,14,1,36,28,19,5,5,1,2,33,23,11,2,3,55,10
13975,106043,104269,6-4 3-6 6-3,R32,128,2,3,71,46,16,11,14,12,3,49,31,20,7,11,16,38
13976,200000,105077,6-3 6-4,R32,80,11,3,34,31,10,1,1,5,2,43,30,8,4,6,20,44
